Unnamed: 0,Source,Title,Location,Department,Rating,Date,review,Pros,Cons
177,AmbitionBox,Assistant Manager,Mundra,Stores & Material Management Department,4,14-10-2024,"Indian management no need to discuss, everyone knows about it. Work life balance is horrible. Flexible working hours, job security is very good. Employee benefits are also attractive. 6 days working in a week. Leave policy is good, but during month end you will not be allowed to take your leaves.Job security and flexibility, employee policies and benefits are good.. Work life balance is horrible, toxic Indian management.",,
178,AmbitionBox,Assistant Manager,Mundra,Stores & Material Management Department,4,14-10-2024,It's is a very good opportunity to start one's carrier as a Get all the thing u need at the time of joining is provided by the company and the management system is pretty good,,
179,AmbitionBox,Assistant Manager,Mundra,Stores & Material Management Department,4,14-10-2024,"Very toxic and favouratism filled culture. Work-life balance is not considered important by management. They say it openly too - ""you can have 7 working days and work-life balance"" in a townhall.",,
180,AmbitionBox,Apprenticeship Trainee,Gondia,Operations Department,4,13-10-2024,"Best safety culture, high productivity, very good growth for employees, great place to work

What is the most stressful part about working at the company?
PMS system and real physical performance feedback is crucial

What is the work environment and culture like at the company?
Great place to work : good accomodation, good transportation, good food, all offices are excellent, , great greenery, rewards system is excellent,

What is a typical day like for you at the company?
As per my thinking, I was put my maximum efforts for organisation,",,
181,AmbitionBox,Apprenticeship Trainee,Gondia,Operations Department,4,13-10-2024,"As group its good but in my vetical line manager are with worst attitude.

Over all very less professionalism.
Haven't seen a leader rarher than a task master/ boss.",,
182,AmbitionBox,Senior Engineer,"Ametha ,katni","Operations, Maintenance & Support Department",5,13-10-2024,"High learning and abilities to grow, high pay and support from management, the only problem is work life balance as shifts goes to late evening, very low turnover",,
183,AmbitionBox,Senior Sales Manager,Kolkata,Enterprise & B2B Sales Department,2,13-10-2024,"Adani is best company in India for working environment

What is the most stressful part about working at the company?
Management system are pressed for work hard

What is the work environment and culture like at the company?
Environment are very good we working with freedom

What is a typical day like for you at the company?
Saturday working is typical day",,
184,AmbitionBox,Plant Quality Head,Ahmedabad,Quality Assurance and Testing Department,3,12-10-2024,"Good place to learn new things to show our potential, all staff members are very supportive, manager also give free hands to achieve ang experience new things and new challenges..",,
185,AmbitionBox,Plant Quality Head,Ahmedabad,Quality Assurance and Testing Department,3,12-10-2024,"In Adani culture, the employee should pay attention to the problem related to transfer, due to which there is a lot of problem in making balance in personal life. Because of this the employee leaves Adani job.",,
186,AmbitionBox,Manager,Mumbai,Accounting & Taxation Department,4,11-10-2024,"There is a need for a change in the workplace culture, I have faced so many days of service, if someone's work performance is very good, then transfer is not given to any other location, because of this there will be problems in our management, because of this, many employees of the company They leave and leave, this happened with me and I gave my resignation at 21, I just wanted a transfer to another location, my so many problems could not be solved, I had to leave the job. Otherwise I would have given 60 years of service",,
187,AmbitionBox,Manager,Mumbai,Accounting & Taxation Department,4,11-10-2024,"What is the best part of working at the company? Being a station head at Port Blair during the pandemic Covid 19 it was challanging for me to take crucial decision to handle in customer handling.

What is the most stressful part about working at the company?
Flight disruption in covid situation.

What is the work environment and culture like at the company?
to give maximum empowerment to airport managers to resolve customer satisfaction.

What is a typical day like for you at the company?
Every day itself is a challenging at airport.",,
188,AmbitionBox,Manager,Mumbai,Accounting & Taxation Department,4,11-10-2024,"Good company with good work culture,learning new things Loved the time I spent there. Management is open to new idea and friendly. Workplace culture is good and colleagues are open to offer help when. Fun, games. Healthcare",,
189,AmbitionBox,Manager,Mumbai,Accounting & Taxation Department,4,11-10-2024,Good working environment... Focus work along work life balance... Clean site... Good appraisal... Continues skill training more family benefit. Good working culture.. Getting together for families.. Good township,,
190,AmbitionBox,Head Plant Security,Ahmedabad,Security Officer Department,1,11-10-2024,Average work place to grow. Not too much opportunity as well as salary structure is also not as much good. Limited skills to learn working atmosphere is good,,
191,AmbitionBox,Head Plant Security,Ahmedabad,Security Officer Department,1,11-10-2024,Mera review is group me best rha ya mene work form home se job karna pasand kara or is group ki salary bhi acchi hai Adani group is best. Free lunch. Short break,,
192,AmbitionBox,Head Plant Security,Ahmedabad,Security Officer Department,1,11-10-2024,"great place to work, you can join with no doubt. GET period is on le of the best period. no organisation gives you same learning as it gives you. staff is great.",,
193,AmbitionBox,Head Plant Security,Ahmedabad,Security Officer Department,1,11-10-2024,Ex NSG commando with pistal PSO jobs and all vichel DVR. Food. Any problem,,
194,AmbitionBox,Intern,Thiruvananthapuram,Quality Assurance and Testing Department,5,09-10-2024,"In addition to being good for your workers' physical and mental health, effective employee engagement can deliver trickle-down benefits for the whole company, including: Better communication.",,
195,AmbitionBox,Intern,Thiruvananthapuram,Quality Assurance and Testing Department,5,09-10-2024,Good company environment good working 3is good salary is already involved with limits everything is fine working hours are food environment good no issue,,
196,AmbitionBox,ACC Cement,Kanpur,Retail Store Operations Department,1,08-10-2024,"What is the best part of working at the company? Need for Technology to keep up with Business development. Vast opportunity to learn new Technology as solutions for a very fast growing Organization

What is the most stressful part about working at the company?
No Stress at all when you are working, learning and Implementing Technology

What is the work environment and culture like at the company?
Work environment is of Results and Culture is developing as it is growing and young blood coming

What is a typical day like for you at the company?
Morning Project reviews, work during the day monitoring projects and Evening Daily project briefing",,
197,AmbitionBox,ACC Cement,Kanpur,Retail Store Operations Department,1,08-10-2024,"Accomodation at Adani Township is provided at Samudra Colony, Mundra. I got campus placement.",,
198,AmbitionBox,ACC Cement,Kanpur,Retail Store Operations Department,1,08-10-2024,"Productive, Supporting, but less pay and progress. Supporting, additional perks. Less pay, Slow progress",,
199,AmbitionBox,ACC Cement,Kanpur,Retail Store Operations Department,1,08-10-2024,"Good area to working.


Good benefits and transportation facilities is there. Yearly get to gather programs is there.
Evidyalaya program there.

Over all good.",,
200,AmbitionBox,Officer,Ahmedabad,Accounting & Taxation Department,1,08-10-2024,As a learner i had good exposure but as manager i was not allowed with free hands to perform my duties upto concern's expectation. With free hands as team we would could have optimized operation cost in much more better way. More over one man show partice is big hick up for team palyers.,,
201,AmbitionBox,Officer,Ahmedabad,Accounting & Taxation Department,1,08-10-2024,"Senior management is supportive, company policies are good, work life balance is good, weekly and other offs, salary timing is perfect, work hours are flexible",,
202,AmbitionBox,Officer,Ahmedabad,Accounting & Taxation Department,1,08-10-2024,"Interview process was good, it was quick and very technical. At HR was leadership related. Many interviews and time-consuming processes. Need to work on this. Professional",,
203,AmbitionBox,Officer,Ahmedabad,Accounting & Taxation Department,1,08-10-2024,Company is good but chances of promotion prospect..is very less ..moreover biasness more prevailed in the organisation. Development on HR policy need to be done.,,
204,AmbitionBox,Officer,Ahmedabad,Accounting & Taxation Department,1,08-10-2024,As per learning part never to give up from works. As per management is good it is thinking for employee. Workplace culture has to adoptive in every organization. Hardest part of job is working on Saturday & Sunday even holiday but relax part taken other day leave. Working with our team that the enjoyable part of the job.,,
205,AmbitionBox,Safety Officer,Gujarat,Occupational Health & Safety Department,4,08-10-2024,6 days a week is too tidy.The job is totally based on boss. If boss is not good than life is tough. Do homework before joining. Location is constraint.,,
206,AmbitionBox,Safety Officer,Gujarat,Occupational Health & Safety Department,4,08-10-2024,"Management is good. Growth in the company is not good. It takes decades to get promoted. Management do not invest in the people. As a result, apart from the people from hometown location, many people leave the company.",,
207,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Fast growing. Ample opportunity. Less manpower so might be stressful and overload sometime. Resources ful Multi locations and multi business Need to have more manpower as less strength increases stress in existing one. Growth, learning, no limit.",,
208,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Adani group company is good, whoever has to do that work, can go for solar panel work, there will be many jobs in it. No. Yes",,
209,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Excellant work place to work, system has to be maintained , strictly adhere to company policy & system , Dress code is mandatory to all level , Any challenge work can be done, only result should be 100 %",,
210,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Working in Adani greens ltd is one of a life time experience, senior are very helpfull, higher management is so coorporative and you best of the lodging and fooding facilities.",,
211,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Good place to work in peaceful indeed,fun filled creatively and curated office for peers.all staffs friendly nd got to learn a lot.for newbie great place. Long",,
212,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Established brand in market. Given o[opportunity to work on latest technology. Management, Benefits, compensation are excellent. But Work life balance can be looked, rest a great company to work",,
213,AmbitionBox,Accounts Associate,Ahmedabad,Accounting & Taxation Department,3,08-10-2024,"Overall good experience working with the company , if you're just starting the career. Leaves - Cannot put as and when required Day/night shifts , sometimes 12 hour duty. Salary isn't on par with standards. Good seniors Average management . If you love to be in remote locations then can apply .",,
214,AmbitionBox,Deputy Manager (Drawing office),Mumbai,Engineering Department,5,08-10-2024,Adani company bahut achcha company hai ham bhi soch rahe hain ismein achcha naukari karne ka mauka mile. Sab kuchh milta hai. Nuksan to kuchh bhi nahin hai,,
215,AmbitionBox,Deputy Manager (Drawing office),Mumbai,Engineering Department,5,08-10-2024,It's good to consider it as required skills can be delivered on time. One can develop his skills and enthusiasm and dedication all with lot of opportunities,,
216,AmbitionBox,Diploma Mechanical Engineer,Dahej,"Operations, Maintenance & Support Department",4,08-10-2024,"nothing much at aprl management not good contractor driven management contractor is powerful, they complain false and u lost ur job nothing much at aprl management not good contractor driven management",,
217,AmbitionBox,Assistant Manager,Bhadrak,Procurement & Purchase Department,4,07-10-2024,Loved the time I spent there. Management is open to new idea and friendly. Workplace culture is good and colleagues are open to offer help when needed.,,
218,AmbitionBox,Assistant Manager,Bhadrak,Procurement & Purchase Department,4,07-10-2024,"Everything is good but salary structure is below market rate as compared to good other companies, you can stay here after age of 40 to 45 year for a long time even also you can plan your retirement in this group.",,
219,AmbitionBox,Assistant Manager,Bhadrak,Procurement & Purchase Department,4,07-10-2024,Over all standards good learning aspects so with depth of business detail oriented .Every year appreciation with company standard policy. Good learning curve under pressure work culture,,
220,AmbitionBox,Assistant Manager,Bhadrak,Procurement & Purchase Department,4,07-10-2024,We will get an opportunity to interact with Senior Management up to the CEO level. Open to new Ideas & Implements Work culture is good Will get Training & Self-improvements. ,,
221,AmbitionBox,Assistant Manager,Bhadrak,Procurement & Purchase Department,4,07-10-2024,"Great work culture, doable workload, a little toxic, diversity issue though, pay parity is huge, people are usually supportive but there is man power crunch. Good peers. Lala company",,
222,AmbitionBox,Accounts & Finance Manager,Gurugram,Back Office Department,4,07-10-2024,"If you need a place with less pressure and work life balance, if location is not your preference then adani solar is for you.

Township and SEZ area is developed nicely.",,
223,AmbitionBox,Accounts & Finance Manager,Gurugram,Back Office Department,4,07-10-2024,"Good organization as a base on system manegent, salary on time before end of the month, employee Friendly, working culture are on latest system. I am very happy and proud feel .",,
224,AmbitionBox,Accounts & Finance Manager,Gurugram,Back Office Department,4,07-10-2024,"Adani is a reputed group, ejoyed a lot while working here, but there are some constraints which lets people to move out. Such as lot of extra works which is out of JD or terms of employment as mentioned in offer letter. No extra benefits to take over additional responsibilities. Lack of houses in township, lack for parking sheds in township, medical facilities are chargable.",,
225,AmbitionBox,Senior Engineer,Unnao,Community Health & Safety Department,4,07-10-2024,The company has a big brand associated with it it is very tough to crack the interview as you only get selected if you have reference but overall if you get good position just go to get associated,,
226,AmbitionBox,Senior Engineer,Unnao,Community Health & Safety Department,4,07-10-2024,"Offers good salary Good industry exposure State of Art Head Quarter.. Work culture a bit tough, six days a week working, Long procedures",,
227,AmbitionBox,Senior Engineer,Unnao,Community Health & Safety Department,4,07-10-2024,Good company to work in india. It is having lot of policies which are very flexible and always an employee centric company looking for opportunities in it.,,
228,AmbitionBox,Deputy Manager,Ahmedabad,Procurement & Purchase Department,4,07-10-2024,"The employees working here are facing the most difficult time of their time at Adani. Most of the employees are very insecure about their job, they are not given freedom at work and also at township",,
229,AmbitionBox,Associate Project Manager,Ahmedabad,Other Hospital Staff Department,1,06-10-2024,Stressful and no ethical work culture. Moto is to just earn money. No employee value. No benefits for employees. I didn't found any keen employee for company. Nothing,,
230,AmbitionBox,Associate Project Manager,Ahmedabad,Other Hospital Staff Department,1,06-10-2024,"No job security & having no clear anytime you can fired from job.lack of clarity about management vision,HR policy leads to high attrition rate.Employees have the fear to loose job anytime.",,
231,AmbitionBox,Associate Project Manager,Ahmedabad,Other Hospital Staff Department,1,06-10-2024,Not good for working professional.If you want stable career please choose another company as Adani is not safe in terms of job security and advance skill,,
232,AmbitionBox,Associate Project Manager,Ahmedabad,Other Hospital Staff Department,1,06-10-2024,"Follow safety in plant Compelsary and PPEand good team work in place all employees friendly treat I worked and maintenance acb, inverter, idt, module, observed crossing , module clean, tilting work. No. Long hours",,
233,AmbitionBox,Associate Project Manager,Ahmedabad,Other Hospital Staff Department,1,06-10-2024,Good company Work not hard Management good Staff skill good Traveling 1 hours is difficult in job Work shift time 8 hours Company work normal no hard. No. Yes,,
234,AmbitionBox,Deputy Manager,Ahmedabad,Engineering Department,2,06-10-2024,Compnis of Adani group is Nice place to work and boost your career bt if you are working with as an off roll employee there is less benefits for you. So according to me if You want to work with Adani Group then try to select as an on roll employee. Free transport,,
235,AmbitionBox,Security Guard,Mundra,Security Officer Department,5,05-10-2024,Very poor progress and employs to given third-party contract..no job safe so contract you work only per year renew your contract no pramosan you can join supervis....and retired supervis...this government responsible to work. No. Life no change,,
236,AmbitionBox,Assistant Manager,Indore,Environment Health and Safety,3,04-10-2024,"It's best company in comparison to other Indian and foreign company.best salary offered, good work culture, learning atmosphere.supportive staff.i recommend to join this company. Learn too much, good salary. No cons",,
237,AmbitionBox,Assistant Manager,Indore,Environment Health and Safety,3,04-10-2024,I am pleased to work with adani family. It's a enjoyable time with with owner family members. I am getting all kind of facilities and good manner and respect. Free fooing ang logging. 12 hours duty,,
238,AmbitionBox,Assistant Manager,Nellore,Finance Department,1,04-10-2024,"Lots Of projects, Team Management, PRofessional Work Culture Lunch time is the most enjoyable We travel a lot for unlimited project, although allowance available. Sometimes you can't being sociable in family. High Pay scale. Poor Management, higher authority give their responsibilities to junior as well if you show your extra skills.",,
239,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,I am filling proud to be a part of Adani group. Adani group is fastest growing group in India. Always good opportunity is there for learning new things.,,
240,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,"Nice company to work with. Very good practice of HR admin and Top management. A group in which you can grow and achieve heights. Led by group of best professional. Flights, Tours, Training. Nothing",,
241,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,"The job at Adani is good and tremendous scope is there for managers to grow with competitive advantage. The timing of the office is excellent and salary is the best part. However, be loyal and be global is the advice. Excellent projects. Hierarchy",,
242,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,"My Over all review for Adani Group is excellent , They have good growth opportunities and work culture . The company takes good care of their employees and provide Meals at Cafeteria at subsidized rates. The company also take care of Health and we'll beibg of employees by regularly getting health check done along with In house Yoga Instructor . Brand. Long hours",,
243,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,good working culture and having good work exposure . worked in different position and location and various varticals. very good org and feel proud working in such org. productive. ok,,
244,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,Reporting authority not evaluate each and every kra & kpi under department working only according gesture evaluation done and job transfer frequently to far.,,
245,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,Timely reporting stock statement Due date follow up audit in time period stock taking with auditor debtors controlling SAP implimatattion ledger work and petty cash maintened. free lunch. on due date only,,
246,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,"Starting Days Was Worst Because There Are No Time To Leave Office Its Depends Upon Your Manager Mood After One Month Its Good Because I Know Alsmost Every Rules How To Work. Good Office Environment, Office Design, Office Place. My Manager Is Not Behaving Good With Us",,
247,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,"Its a good place to work, however, a little stressful due to longer working hours. Standards are good, Have a very beautiful well maintained office head quarter in Ahmedabad, Gujarat, India. Many good policies, Job security, Great office buidling. Long Hours",,
248,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,"I have more than 15 years experience in construction of thermal power plant and solar plant, specialist in construction of thermal Supercritical and Subcritical boiler and it's auxiliaries and solar plant, solar manufacturing units.",,
249,AmbitionBox,Equipment Manager,Mundra,Construction Engineering Department,3,04-10-2024,It's a very nice place to work they have a very e immunity full township they have good facilities for transportation from home to work place they have a very good work culture they have a very good work life balance they appreciate good working people they have lot of trainings to improve yourself the top management or you can say owners are very open you can go and directly meet them they you can say anything whatever you want it so I like to work in this company,,
250,AmbitionBox,Assistant Manager,Ahmedabad,Other Program / Project Management Department,4,04-10-2024,"Considering, the current scenario in power business, ADANI is doing best and the policies are crystal clear. The work places are very well hygeinic and work culture is good. Best in Power Sector. Salaries are comparatively less, but looking at other aspects, its Good.",,
251,AmbitionBox,Assistant Manager,Ahmedabad,Other Program / Project Management Department,4,04-10-2024,"Fully empowered workplace, supported by leadership, challenging opportunities, work life balance, employee friendly environment and best in class office and tools available, great teamwork",,
252,AmbitionBox,Assistant Manager,Ahmedabad,Other Program / Project Management Department,4,04-10-2024,A nice place to work with like minded people. Had a great exposure in meeting compliance requirement of GST and HST returns. Was associated with litigation team for appeals and assessments.,,
253,AmbitionBox,Assistant Manager,Ahmedabad,Other Program / Project Management Department,4,04-10-2024,Doesnt care anything about its employee. Worst work life balance. Discrimination between a bcom graduate and an engineer after they are recruited at an MBA level in terms of salary.,,
254,AmbitionBox,Mining Engineer,Chandrapur,Mining Department,5,04-10-2024,Company is excellent and working staff is supportive and good facilities and all things like hospitality and job security is excellent and lots of other benefits here,,
255,AmbitionBox,Mining Engineer,Chandrapur,Mining Department,5,04-10-2024,"It was great experience working with Adani, there were lot of learnings which help me to develop professionally and personally. Overall it was great that i started with FMCG company",,
256,AmbitionBox,Mining Engineer,Chandrapur,Mining Department,5,04-10-2024,"Good company to work if you able to handel pressure. Brand loyality is good, managment is supportive, must capable to handel big business, business size is big.",,
257,AmbitionBox,Hindi Teacher,Surguja,Life Skills / ECA Teacher Department,5,04-10-2024,Good company in India for work. Management and working life is very perfectly. Easily understand the problems of employees. Work culture is very enjoyable.,,
258,AmbitionBox,Primary Teacher,Serampore Hooghly West Bengal,Preschool & Primary Education Department,5,04-10-2024,Hard work...... In the company And management are very good Company is very reputed.but more than 50% work are contractor or contract basis In this company high level sefty are ferferred,,
259,AmbitionBox,Primary Teacher,Serampore Hooghly West Bengal,Preschool & Primary Education Department,5,04-10-2024,That's good company good work experience is learn at adani power plant Nice engineer to do a work at helping a work. Greet management at adani power limited,,
260,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,अदानी कंपनी बहुत बढ़िया कंपनी है जो कि जहां पर सबसे बड़ा पावर प्लांट पाया गया वहां का वर्क फैसिलिटी सब बढ़िया है ओन्ली सैलरी जैसे हमने वहां से कार्य छोड़ दिया है,,
261,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,Salary is not as per the work load. Too much hierarchy. Have to work even on weekends. Minimum 12 hrs of work on a daily basis. Increment is not as per industry standards,,
262,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,"Balanced work life with better environment ,Job occurs at various locations in india, career growth is not enough with adani.",,
263,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,ts good company. Great people hardworking people. nice work culture . Good business projects Good work ethics Good caring people. Good flexible tuning. Good corporate culture,,
264,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,"If you are looking towards learning, unlearning and growing with the organization, Adani is the best for you. The workplace culture is very good with no formal hierarchy in place. You are welcome to engage directly with senior leadership.",,
265,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,Very big plant and very good job culture. Good spare part management. Good co-worker. Safe and sample work condition. Desalination Water plant is good condition.,,
266,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,Good company for knowledge gain.for work it is good you can get enough time for family. Location is ok and growing with lip and bounce.overall good experience.,,
267,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,"Good company & management. I learned a lot from this organization. My boss was very amazing personality and hardworking. Whatever I learned from this organization, has implemented in my current work place.",,
268,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,"Point :- Technical skills developed and career growth, financial growth Job a best reforms and good things Skills developed target sauces lifestyle.",,
269,AmbitionBox,Assistant Manager,Gurugram,IT Security Department,1,03-10-2024,Good environment and good working people to grow with them. Supportive company where you can grow your self in the logistics and terminal industry....,,
270,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,Very nice experience here for independent working in the company. Infrastructure is good. Working condition are fine. canteen facility & transportation to the working site from residence is good.,,
271,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,You can learn & develop your self as the company has got most advanced technology. But due to lot of competition you can hardly grow here. Township is best for your family.,,
272,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,The company is fever of employees and any activity because good place for the work and the work doing well I hope the company all over staff are very interested because the company will be near of me and the company thought for employees and anyone also good for 8hour shift of company thanks for this,,
273,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,Handling of break bulk and bulk cargo Vessel planning  Coordination with Client charter owners and port captain. Day to day operational performance and achivement of productivity norms for vessel.,,
274,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,Yaha salary bohot late dete h or bolte ese hi aayegiagar jar sakte ho kro nhi bhag jao that not respectval pepoul thear company ........................,,
275,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,Very aggressive and stessed work culture. But management cares for their employees and their families. Learning and growth is the one important factor and is compulsory for every one. Mangement gives opportunity for careeer growth to internal talent. Good working culture. Thanks,,
276,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,"Good place to work at and has massive footprints in Energy, Resource & Logistics. Decision making is quick at Top most level, however, second line of management is learning the ropes. Employee benevolent fund. Centralized decision making",,
277,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,this is a place where you can learn good things. It is a place which gives you new opportunity. it is good for future. I always feel proud to work here.,,
278,AmbitionBox,Officer,Lucknow,Operations Department,4,03-10-2024,"stress full work for GT and Mordern Tarde. take meeting for late night till 1AM, unnecessary work load, HR and seniors are not much supporting, timing 9.30Am till manager wants,",,
279,AmbitionBox,Teritory Sales Officer,Chhattisgarh,Sales Support & Operations Department,1,03-10-2024,"Adani group is fast growing organisation and one of the best employer in Gujarat. I worked in Port Planning, Healthcare and many other Architectural projects going under the company. It was a great experience working with Adani Group. The group is also expanding in many country level verticals.",,
280,AmbitionBox,Teritory Sales Officer,Chhattisgarh,Sales Support & Operations Department,1,03-10-2024,Good not working style good. Some extent good and some level warning attached and atmosphere. But overall all health insurance marketplace category for HR.,,
281,AmbitionBox,Teritory Sales Officer,Chhattisgarh,Sales Support & Operations Department,1,03-10-2024,Nice company work culture and policies are too much good. I recommend to all kindly try to join this group . Increment and bonous also very good . This is a employee orientation company,,
282,AmbitionBox,Teritory Sales Officer,Chhattisgarh,Sales Support & Operations Department,1,03-10-2024,A good working condition and individual development environment. Good guidance by seniors and management for better delivery of assigned work. Over all a satisfactory place to work.,,
283,AmbitionBox,Teritory Sales Officer,Chhattisgarh,Sales Support & Operations Department,1,03-10-2024,Every working with something new. Learned much more than in expected in sales field. Management is very very good. very very good culture in working with Adani. Hardest day of the job in target is not achieved in the given specifically.,,
284,AmbitionBox,Teritory Sales Officer,Chhattisgarh,Sales Support & Operations Department,1,03-10-2024,This is one of the best company to work with. I will appreciate if I will be able to get a chance to work again. Work culture of the company is very good and nice.,,
285,AmbitionBox,Associate Manager,Ahmedabad,Strategic & Top Management,2,03-10-2024,Limited area but experience is good.my work place at Ahmedabad and landscape area is limited.knowledge improvement is not possible and some administration problem. so I leave job.,,
286,AmbitionBox,Associate Manager,Ahmedabad,Strategic & Top Management,2,03-10-2024,For amount of work done we don't get enough salary.Management is very toxic and there is lot of favoritism on offer.People who stick here are those who have no higher ambition in life.Top level management don't listen to grievances or pay heed to it.Compromise on Safety and Quality is done on regular basis.,,
287,AmbitionBox,Associate Manager,Ahmedabad,Strategic & Top Management,2,03-10-2024,"This organisation is an edible product like Oil, pulsed,besan, rice and wheat flour . Product is good and market is good but overall is ok for employee. Company is good policy but managment and other things is not fruitful.",,
288,AmbitionBox,Associate Manager,Ahmedabad,Strategic & Top Management,2,03-10-2024,It gives a deep dive into the FMCG industry and acts as a great launchpad to kickstart the career. There are ample profiles available across the company functions which give an opportunity to have hands on experience into multiple domains within the same company.,,
289,AmbitionBox,Associate Manager,Ahmedabad,Strategic & Top Management,2,03-10-2024,"We have meet the work deadline , lot of regular training provided by the company which generally has develop good work skills. The management was very aggressive in development in business and we have many business verticals so we have different business exposure.",,
290,AmbitionBox,Quality Control and Production Incharge,Siliguri,Quality Assurance,4,03-10-2024,"As I am the part of sourcing and procurement team, so do take care for Procurement and servicea. The team and the management are supportive . Also having Good environment for working.",,
291,AmbitionBox,Quality Control and Production Incharge,Siliguri,Quality Assurance,4,03-10-2024,"When the company is dealing in the large scale of business though the management is thinking for the each of its employee so i think the company doesn't require any review from its any of the family member, in short it is fantastic place to work.",,
292,AmbitionBox,Quality Control and Production Incharge,Siliguri,Quality Assurance,4,03-10-2024,"Great workplace, Management, ceo sir, culture and job security, salary very good. I am very happy to work with adani Wilmar ltd and I am feeling proud with our company.",,
293,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,"Hectic life. no role clarity. no career growth. very less increment level politics, toxic work culture irregular work flow. flexible working hours. Boss driven.",,
294,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,There was no clarity of role for the professionals at the Leadership Positions and thus there used to be very high level of attrition in almost all the functions,,
295,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,"honestly, it was very useful to work with them and i have learned many things over there in customs clearance logistics part and even new skills SAP above and over all i got a great opportunity there with adani group",,
296,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,"Its belongs to Adani group. Very big company in Indian market. They have Shipping, port , mining,power. This is billionaire market share company. Very strong supply chain.",,
297,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,"I am happy to serve here.. It's a international company of oil manufacturing..........................................Very nice place to work.......Free lunch, Breakfast, Tea",,
298,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,APSEZL core value is Trust Commitment and employee and social welfare. A infrastructure company and dedicated to nation building and provide a gateway for international business.,,
299,AmbitionBox,Deputy General Manager,Chandrapur,Construction Engineering Department,5,02-10-2024,"Good job, mean working condition is good, transfort service is good, salary come in his time to time, worker staff is good. Mean. Almost are good. In working condition no problem with this company. Increment, insentiv are come his time. Company take care of all employees, listening to all Employee Management is good. In this company products is power electricity so, boiler and turbine side work load always available. Risk not. Daily but depending your working style.",,
300,AmbitionBox,Techno Commercial Manager,Jharsuguda,Procurement & Purchase Department,3,01-10-2024,World class technologies and largest supercritical thermal power plant at any single located in India. Management should be more coordinated. Very disciplined and structured.,,
301,AmbitionBox,Techno Commercial Manager,Jharsuguda,Procurement & Purchase Department,3,01-10-2024,But abhi apni career better krna chahata hu because there's no T.A. D.A for offrole employee. So the company does not give expenses like petrol etc. to offrole people,,
302,AmbitionBox,Techno Commercial Manager,Jharsuguda,Procurement & Purchase Department,3,01-10-2024,"New Technology i.e. Chinese TechnologyNew Type of Design (Opposite Fire Boiler), Internation Design i.e. B&W Make Boiler, Good Management, Took active part in IBR formalities,",,
